constituency,result_2017,result_2019,winner_votes_2019,winner_share_2019,majority_2019,turnout_2019,snp_2019,con_2019,lab_2019,ld_2019,grn_2019,brx_2019,other_2019,total_2019
Edinburgh South West,SNP,SNP,"24,830",47.60%,"11,982",70.90%,"24,830","12,848","7,478","4,971","1,265",625,114,"52,140"
Edinburgh West,LD,LD,"21,766",39.90%,"3,769",75.20%,"17,997","9,283","4,460","21,766","1,027",,,"54,533"
Falkirk,SNP,SNP,"29,351",52.50%,"14,948",66.10%,"29,351","14,403","6,243","3,990","1,885",,,"55,872"
Glasgow Central,SNP,SNP,"19,750",49.20%,"6,474",57.90%,"19,750","3,698","13,276","1,952","1,429",,,"40,105"
Glasgow East,SNP,SNP,"18,357",47.70%,"5,566",57.10%,"18,357","5,709","12,791","1,626",,,,"38,483"
Glasgow North,SNP,SNP,"16,982",46.90%,"5,601",63.30%,"16,982","3,806","11,318","2,394","1,308",320,,"36,191"
Glasgow North East,Lab,SNP,"15,911",46.90%,"2,548",55.50%,"15,911","3,558","13,363","1,039",,,,"33,925"
Glasgow North West,SNP,SNP,"19,678",49.50%,"8,359",62.70%,"19,678","6,022","11,319","2,716",,,,"39,735"
Glasgow South,SNP,SNP,"22,829",48.10%,"9,005",66.90%,"22,829","6,237","13,824","2,786","1,251",516,,"47,443"
Glasgow South West,SNP,SNP,"17,643",47.90%,"4,900",57.10%,"17,643","4,224","12,743","1,435",,802,,"36,125"
Glenrothes,SNP,SNP,"21,234",51.10%,"11,757",63.20%,"21,234","6,920","9,477","2,639",,"1,276",,"41,546"
Gordon,Con,SNP,"23,885",42.70%,819,70.20%,"23,885","23,066","3,052","5,913",,,,"55,916"
Inverclyde,SNP,SNP,"19,925",48.40%,"7,512",65.80%,"19,295","6,265","11,783","2,560",,,,"39,903"
"Inverness, Nairn, Badenoch and Strathspey",SNP,SNP,"26,247",47.90%,"10,440",70.20%,"26,247","1,078","4,123","5,846","1,709","1,078",,"40,081"
Kilmarnock and Loudoun,SNP,SNP,"24,216",50.80%,"12,659",65.80%,"24,216","11,557","9,009","2,444",,,405,"47,631"
Kirkcaldy and Cowdenbeath,Lab,SNP,"16,568",35.20%,"1,243",70.20%,"16,568","9,449","15,325","2,903","1,628","1,132",,"47,005"
Lanark and Hamilton East,SNP,SNP,"22,243",41.90%,"5,187",63.90%,"22,243","17,056","10,736","3,037",,,,"53,072"
Linlithgow and East Falkirk,SNP,SNP,"25,551",44.20%,"11,226",64.50%,"25,551","14,285","10,517","4,393","1,184","1,257",588,"57,775"
Livingston,SNP,SNP,"25,617",46.90%,"13,435",68.30%,"25,617","12,182","11,915","3,457","1,421",,,"42,410"
Midlothian,Lab,SNP,"20,033",41.50%,"5,705",66.40%,"20,033","10,467","14,328","3,393",,,,"48,221"
Moray,Con,Con,"22,112",45.30%,413,66.30%,"21,599","22,112","2,432","2,269",,,413,"48,835"
Motherwell and Wishaw,SNP,SNP,"20,622",46.40%,"6,268",68.40%,"20,662","7,150","14,354","1,675",,,619,"44,420"
Na h-Eileanan an Iar,SNP,SNP,"6,531",45.10%,"2,438",68.60%,"6,531","3,216","4,093",637,,,,"14,477"
North Ayrshire and Arran,SNP,SNP,"23,376",48.50%,"8,521",65.50%,"23,376","14,855","6,702","2,107","1,357",,,"48,154"
North East Fife,SNP,LD,"19,763",43.10%,"1,316",75.30%,"18,447","5,961","1,707","19,763",,,,"45,878"
Ochil and South Perthshire,Con,SNP,"26,882",46.50%,"4,498",73.40%,"26,882","22,384","4,961","3,204",,,382,"57,813"
Orkney and Shetland,LD,LD,"10,381",44.80%,"2,507",67.70%,"7,874","2,287","1,550","10,381",,900,168,"22,992"
Paisley and Renfrewshire North,SNP,SNP,"23,353",47.00%,"11,902",69.00%,"23,353","11,217","11,451","3,661",,,,"49,835"
Paisley and Renfrewshire South,SNP,SNP,"21,637",50.20%,"10,769",66.90%,"21,637","7,571","10,958","2,918",,,,"43,217"
Perth and North Perthshire,SNP,SNP,"27,362",50.60%,"7,550",74.50%,"27,362","19,812","2,471","3,780",,651,,"54,014"
"Ross, Skye and Lochaber",SNP,SNP,"19,263",48.30%,"9,443",73.50%,"19,263","6,900","2,448","9,820",,710,728,"39,869"
Rutherglen and Hamilton West,Lab,SNP,"23,775",44.20%,"5,230",66.50%,"23,775","8,045","18,545","2,791",,,629,"53,794"
Stirling,Con,SNP,"26,895",51.10%,"9,254",76.80%,"26,895","17,641","4,275","2,867",942,,,"52,620"
West Aberdeenshire and Kincardine,Con,Con,"22,752",42.70%,843,73.40%,"21,909","22,752","2,431","6,253",,,,"53,317"
West Dunbartonshire,SNP,SNP,"22,396",49.60%,"9,553",67.90%,"22,396","6,436","12,843","1,890",867,,708,"45,244"
